,Player,Book,Type,OU,Line,Price,BetValue,Last Update,Recommended
507,George Springer,BetMGM,batter_hits,Under,0.5,150,0.0319999999999999,03/27 13:56,N
504,Bo Naylor,DraftKings,batter_walks,Over,0.5,270,0.0319999999999999,03/27 13:56,N
518,Corbin Carroll,Caesars,batter_home_runs,Over,0.5,1000,0.031,03/27 13:56,N
514,Nick Castellanos,BetMGM,batter_hits,Under,0.5,175,0.031,03/27 13:56,N
524,Carlos Correa,Caesars,batter_home_runs,Over,0.5,1000,0.031,03/27 13:56,N
523,Jackson Merrill,BetRivers,batter_doubles,Over,0.5,475,0.031,03/27 13:56,N
519,Jake Rogers,Caesars,batter_home_runs,Over,0.5,900,0.031,03/27 13:56,N
516,Wilmer Flores,Caesars,batter_home_runs,Over,0.5,1000,0.031,03/27 13:56,N
526,James Wood,Caesars,batter_home_runs,Over,0.5,900,0.031,03/27 13:56,N
531,Bryson Stott,DraftKings,batter_walks,Under,0.5,-200,0.0309999999999999,03/27 13:56,N
530,Riley Greene,BetRivers,batter_hits,Over,0.5,-114,0.0309999999999999,03/27 13:56,N
532,Luis Rengifo,DraftKings,batter_walks,Under,0.5,-275,0.03,03/27 13:56,N
536,Tommy Pham,DraftKings,batter_walks,Under,0.5,-265,0.03,03/27 13:56,N
542,Gio Urshela,FanDuel,batter_hits,Over,2.5,2400,0.03,03/27 13:56,N
541,LaMonte Wade Jr.,DraftKings,batter_walks,Over,0.5,-105,0.03,03/27 13:56,N
543,Oneil Cruz,FanDuel,batter_home_runs,Over,0.5,750,0.03,03/27 13:56,N
538,Elly De La Cruz,BetRivers,batter_hits,Over,1.5,320,0.03,03/27 13:56,N
537,Andy Pages,BetMGM,batter_singles,Over,0.5,180,0.03,03/27 13:56,N
539,Jorge Polanco,DraftKings,batter_singles,Over,0.5,185,0.03,03/27 13:56,N
545,Lawrence Butler,BetRivers,batter_home_runs,Over,0.5,600,0.03,03/27 13:56,N
